,smoothing_level,smoothing_slope,damping_slope,damped,RMSE,R²
452,0.6,0.3,0.6,True,2.2608200730633006,-0.5776801309970079
453,0.6,0.4,0.6,True,2.965954011575478,-1.7152872531022734
454,0.6,0.5,0.6,True,4.125854695408022,-4.254299362558787
455,0.6,0.6,0.6,True,5.583882106345791,-8.624084687028498
456,0.6,0.7,0.6,True,7.258980009795906,-15.26440409738024
457,0.6,0.8,0.6,True,9.109836569512362,-24.615811975499643
458,0.6,0.9,0.6,True,11.111666459173083,-37.11056158615236
459,0.7,0.1,0.6,True,2.0493081138954747,-0.2962879213327916
460,0.7,0.2,0.6,True,2.9561746156870132,-1.6974109866781286
461,0.7,0.3,0.6,True,4.373078839169964,-4.902847579255353
462,0.7,0.4,0.6,True,6.114268300489202,-10.5392063421188
463,0.7,0.5,0.6,True,8.098784800416228,-19.24541452729454
464,0.7,0.6,0.6,True,10.285324309127503,-31.652988500737706
465,0.7,0.7,0.6,True,12.646706313974867,-48.3675780977847
466,0.7,0.8,0.6,True,15.161366599271652,-69.95183848623653
467,0.7,0.9,0.6,True,17.810220914819283,-96.90966576351286
468,0.8,0.1,0.6,True,3.7050876377693296,-3.2372484072389733
469,0.8,0.2,0.6,True,5.5403835540125925,-8.474725097816702
470,0.8,0.3,0.6,True,7.681103713181292,-17.211017575598163
471,0.8,0.4,0.6,True,10.07047079681738,-30.303039121045295
472,0.8,0.5,0.6,True,12.67187695095051,-48.56428543603651
473,0.8,0.6,0.6,True,15.455639243431536,-72.73282936120037
474,0.8,0.7,0.6,True,18.394797464598287,-103.4424319875051
475,0.8,0.8,0.6,True,21.463550645487608,-141.19688744063893
476,0.8,0.9,0.6,True,24.63659755310654,-186.34772064455368
477,0.9,0.1,0.6,True,6.1819170841001645,-10.795960419653198
478,0.9,0.2,0.6,True,8.61789901580919,-21.92396605331726
479,0.9,0.3,0.6,True,11.32322521358338,-38.575576120864994
480,0.9,0.4,0.6,True,14.255398094073797,-61.72571997412706
481,0.9,0.5,0.6,True,17.376430044473643,-92.19831655469116
482,0.9,0.6,0.6,True,20.64997415714363,-130.6212406679625
483,0.9,0.7,0.6,True,24.040278490416245,-177.3881263088732
484,0.9,0.8,0.6,True,27.511753730402333,-232.6272547132902
485,0.9,0.9,0.6,True,31.028778358740528,-296.17776326035306
486,0.1,0.1,0.7,True,4.2403695172776645,-4.550017632289224
487,0.1,0.2,0.7,True,4.576031326143234,-5.4634580268725
488,0.1,0.3,0.7,True,4.895235049637641,-6.396632725317804
489,0.1,0.4,0.7,True,5.200454399624493,-7.347752040177056
490,0.1,0.5,0.7,True,5.492650730050166,-8.312170577188908
491,0.1,0.6,0.7,True,5.772145374006142,-9.28398598472191
492,0.1,0.7,0.7,True,6.038998777275958,-10.256848949892593
493,0.1,0.8,0.7,True,6.293184474523929,-11.22440923625606
494,0.1,0.9,0.7,True,6.534664191696013,-12.180549135592596
495,0.2,0.1,0.7,True,5.338385707728554,-7.796438150636613
496,0.2,0.2,0.7,True,5.750469897916738,-9.20689445526082
497,0.2,0.3,0.7,True,6.1133712326404375,-10.535820592219212
498,0.2,0.4,0.7,True,6.427246945340784,-11.750785158569359
499,0.2,0.5,0.7,True,6.692262927662832,-12.823975194049797
500,0.2,0.6,0.7,True,6.9086826405667,-13.732533649169666
501,0.2,0.7,0.7,True,7.076850355295224,-14.458486808945537
502,0.2,0.8,0.7,True,7.197175772176251,-14.988627106575946
503,0.2,0.9,0.7,True,7.270139533046269,-15.31445038800981
504,0.3,0.1,0.7,True,5.553250945781115,-8.518785791700592
505,0.3,0.2,0.7,True,5.825948253264849,-9.47659609640417
506,0.3,0.3,0.7,True,5.9947679040425585,-10.092557843010368
507,0.3,0.4,0.7,True,6.061893780600574,-10.342364495515222
